1741224068.589583,0
1741224068.7337656,0
1741224068.8657465,5
1741224068.9919398,10
1741224069.1236107,9
1741224069.249978,9
1741224069.3750236,9
1741224069.5056942,9
1741224069.6315558,7
1741224069.7606866,6
1741224069.8930082,7
1741224070.0256999,7
1741224070.1535385,9
1741224070.28096,9
1741224070.4121368,9
1741224070.5403721,9
1741224070.6664138,9
1741224070.7935784,8
1741224070.923309,9
1741224071.0843432,8
1741224071.2124338,9
1741224071.3437445,8
1741224071.4730892,10
1741224071.5993838,7
1741224071.7300386,10
1741224071.859225,9
1741224071.9862566,8
1741224072.1141243,10
1741224072.2412848,9
1741224072.3755865,8
1741224072.504333,10
1741224072.6383839,8
1741224072.7669005,9
1741224072.8996983,10
1741224073.029157,10
1741224073.1669996,10
1741224073.3002133,9
1741224073.429065,10
1741224073.5621686,10
1741224073.6910021,10
1741224073.821128,9
1741224073.9494953,9
1741224074.075904,10
1741224074.2027106,8
1741224074.3304622,10
1741224074.4572217,10
1741224074.5883884,10
1741224074.717979,9
1741224074.8475876,10
1741224074.9745882,9
1741224075.107626,9
1741224075.2341104,10
1741224075.363266,7
1741224075.4897819,8
1741224075.6177802,7
1741224075.7436466,7
1741224075.8745863,9
1741224076.003338,8
1741224076.1377869,9
1741224076.2663105,10
1741224076.398662,9
1741224076.5334618,7
1741224076.6729116,9
1741224076.8026373,10
1741224076.9363,10
1741224077.0710278,10
1741224077.1973403,9
1741224077.3238008,9
1741224077.4513643,8
1741224077.578319,7
1741224077.7055507,9
1741224077.833177,8
1741224077.9656527,10
1741224078.0975325,8
1741224078.225053,9
1741224078.359452,8
1741224078.4919753,7
1741224078.6206331,10
1741224078.7509737,8
1741224078.8817313,6
1741224079.0138752,1
1741224079.1423657,3
1741224079.2727592,4
1741224079.401546,5
1741224079.5316837,9
1741224079.662599,8
1741224079.79333,8
1741224079.9215486,9
1741224080.0553184,8
1741224080.185351,9
1741224080.3119366,10
1741224080.443349,8
1741224080.5788648,10
1741224080.7107604,10
1741224080.841038,10
1741224080.9689996,9
1741224081.0977702,10
1741224081.2321572,9
1741224081.3591328,8
1741224081.4932115,9
1741224081.6452665,9
1741224081.7779582,9
1741224081.9089727,9
1741224082.0410454,7
1741224082.170392,8
1741224082.3048208,6
1741224082.4374704,9
1741224082.56973,9
1741224082.7059247,8
1741224082.8378966,9
1741224082.9669392,9
1741224083.0962958,8
1741224083.2254875,8
1741224083.3593602,10
1741224083.4872837,10
1741224083.6206934,10
1741224083.8251078,9
1741224083.9541574,10
1741224084.091378,9
1741224084.2197077,9
1741224084.3483782,8
